dataset_dir,base,tile_id,method,family,source_kind,trajectory_theta_deg,mask_separation,corr_with_rec,unified_score
generated_from_source_picture1,Picture1,3,SVD Rank-20,SVD,file,64.03966896,0.04938949,0.92906153,0.31329110
generated_from_source_picture1,Picture1,4,FFT Pipeline,FFT,file,66.94134532,0.30922747,0.51458396,0.37083442
generated_from_source_picture1,Picture1,4,Chirplet Transform,FFT-like/Wavelet,dynamic,66.94134532,0.05353973,0.92718378,0.31563295
generated_from_source_picture1,Picture1,4,Gabor Transform,FFT-like/Wavelet,dynamic,66.94134532,0.07979646,0.87427159,0.31813900
generated_from_source_picture1,Picture1,4,Morlet Wavelet,FFT-like/Wavelet,dynamic,66.94134532,0.07979646,0.87427159,0.31813900
generated_from_source_picture1,Picture1,4,CNN-style ConvBank + SVD Rank-40,SVD,file,66.94134532,0.06804277,0.77195012,0.27921498
generated_from_source_picture1,Picture1,4,SVD Energy-99%,SVD,file,66.94134532,0.04140367,0.93972289,0.31089944
generated_from_source_picture1,Picture1,4,SVD Rank-20,SVD,file,66.94134532,0.04122099,0.93272411,0.30867192
generated_from_source_picture1,Picture1,5,FFT Pipeline,FFT,file,65.32122606,0.31403312,0.50755276,0.37208901
generated_from_source_picture1,Picture1,5,Chirplet Transform,FFT-like/Wavelet,dynamic,65.32122606,0.08628760,0.93661095,0.34138461
generated_from_source_picture1,Picture1,5,Gabor Transform,FFT-like/Wavelet,dynamic,65.32122606,0.12844629,0.89004822,0.35692687
generated_from_source_picture1,Picture1,5,Morlet Wavelet,FFT-like/Wavelet,dynamic,65.32122606,0.12844629,0.89004822,0.35692687
generated_from_source_picture1,Picture1,5,CNN-style ConvBank + SVD Rank-40,SVD,file,65.32122606,0.09949476,0.78247702,0.30438943
generated_from_source_picture1,Picture1,5,SVD Energy-99%,SVD,file,65.32122606,0.06781694,0.94794165,0.33185435
generated_from_source_picture1,Picture1,5,SVD Rank-20,SVD,file,65.32122606,0.06273181,0.94430006,0.32720228
generated_from_source_picture1,Picture1,6,FFT Pipeline,FFT,file,66.36012249,0.30678057,0.55421303,0.38101031
generated_from_source_picture1,Picture1,6,Chirplet Transform,FFT-like/Wavelet,dynamic,66.36012249,0.10859890,0.93487711,0.35648236
generated_from_source_picture1,Picture1,6,Gabor Transform,FFT-like/Wavelet,dynamic,66.36012249,0.15691709,0.89974244,0.37976469
generated_from_source_picture1,Picture1,6,Morlet Wavelet,FFT-like/Wavelet,dynamic,66.36012249,0.15691709,0.89974244,0.37976469
generated_from_source_picture1,Picture1,6,CNN-style ConvBank + SVD Rank-40,SVD,file,66.36012249,0.12695295,0.79778477,0.32820250
generated_from_source_picture1,Picture1,6,SVD Energy-99%,SVD,file,66.36012249,0.08728702,0.95000048,0.34610106
generated_from_source_picture1,Picture1,6,SVD Rank-20,SVD,file,66.36012249,0.07928874,0.94857083,0.34007337
generated_from_source_picture1,Picture1,7,FFT Pipeline,FFT,file,63.79075756,0.31332283,0.50715008,0.37147100
generated_from_source_picture1,Picture1,7,Chirplet Transform,FFT-like/Wavelet,dynamic,63.79075756,0.06482177,0.92632816,0.32327369
generated_from_source_picture1,Picture1,7,Gabor Transform,FFT-like/Wavelet,dynamic,63.79075756,0.09594242,0.87791678,0.33053473
generated_from_source_picture1,Picture1,7,Morlet Wavelet,FFT-like/Wavelet,dynamic,63.79075756,0.09594242,0.87791678,0.33053473
generated_from_source_picture1,Picture1,7,CNN-style ConvBank + SVD Rank-40,SVD,file,63.79075756,0.08730205,0.77240540,0.29283306
generated_from_source_picture1,Picture1,7,SVD Energy-99%,SVD,file,63.79075756,0.05417102,0.93822562,0.31938740
generated_from_source_picture1,Picture1,7,SVD Rank-20,SVD,file,63.79075756,0.05363954,0.93462839,0.31793619
generated_from_source_picture1,Picture1,8,FFT Pipeline,FFT,file,65.22466925,0.32334198,0.46408487,0.36556485
generated_from_source_picture1,Picture1,8,Chirplet Transform,FFT-like/Wavelet,dynamic,65.22466925,0.07166335,0.92853318,0.32872430
generated_from_source_picture1,Picture1,8,Gabor Transform,FFT-like/Wavelet,dynamic,65.22466925,0.10415325,0.87376714,0.33503742
generated_from_source_picture1,Picture1,8,Morlet Wavelet,FFT-like/Wavelet,dynamic,65.22466925,0.10415325,0.87376714,0.33503742
generated_from_source_picture1,Picture1,8,CNN-style ConvBank + SVD Rank-40,SVD,file,65.22466925,0.08502555,0.75605210,0.28633352
generated_from_source_picture1,Picture1,8,SVD Energy-99%,SVD,file,65.22466925,0.05917788,0.94515985,0.32497247
generated_from_source_picture1,Picture1,8,SVD Rank-20,SVD,file,65.22466925,0.05647253,0.93841541,0.32105539
generated_from_source_picture1,Picture1,9,FFT Pipeline,FFT,file,67.14703958,0.32405802,0.50806578,0.37926035
generated_from_source_picture1,Picture1,9,Chirplet Transform,FFT-like/Wavelet,dynamic,67.14703958,0.09105983,0.92855487,0.34230835
generated_from_source_picture1,Picture1,9,Gabor Transform,FFT-like/Wavelet,dynamic,67.14703958,0.13108521,0.86956006,0.35262767
generated_from_source_picture1,Picture1,9,Morlet Wavelet,FFT-like/Wavelet,dynamic,67.14703958,0.13108521,0.86956006,0.35262767
generated_from_source_picture1,Picture1,9,CNN-style ConvBank + SVD Rank-40,SVD,file,67.14703958,0.10953540,0.76254188,0.30543734
generated_from_source_picture1,Picture1,9,SVD Energy-99%,SVD,file,67.14703958,0.07318600,0.94673876,0.33525182
generated_from_source_picture1,Picture1,9,SVD Rank-20,SVD,file,67.14703958,0.06817140,0.94204511,0.33033351
generated_from_source_picture1,Picture1,10,FFT Pipeline,FFT,file,68.07029575,0.31999918,0.56857288,0.39457129
generated_from_source_picture1,Picture1,10,Chirplet Transform,FFT-like/Wavelet,dynamic,68.07029575,0.11410795,0.92258251,0.35665031
generated_from_source_picture1,Picture1,10,Gabor Transform,FFT-like/Wavelet,dynamic,68.07029575,0.16557255,0.86970734,0.37681299
generated_from_source_picture1,Picture1,10,Morlet Wavelet,FFT-like/Wavelet,dynamic,68.07029575,0.16557255,0.86970734,0.37681299
generated_from_source_picture1,Picture1,10,CNN-style ConvBank + SVD Rank-40,SVD,file,68.07029575,0.13862160,0.77776976,0.33036605
generated_from_source_picture1,Picture1,10,SVD Energy-99%,SVD,file,68.07029575,0.08887553,0.95100169,0.34751338
generated_from_source_picture1,Picture1,10,SVD Rank-20,SVD,file,68.07029575,0.08714719,0.94601993,0.34480901
